,Leadership - Female,,,,
1,"The fact the XXX has more women than men overall yet has a small to no percentage of women in the most senior positions is evidence of a serious problem. There is a frat boy culture that makes it very difficult for women to be part of the ""club"" or they need to sacrifice their personality to be part of it. It's a very difficult environment at the top. ",G_L_D_H,WE_MA,CA_PO_L,
2,"It's pretty clear that gender diversity can use some improvements here, especially at the ED+ level (I realize we just promo'd two women to SVP). It will be interesting to see how we accomplish this, and how we accomplish it at Director and below levels given that we've flattened the org in a big way. My POV is that as much as many women (and even men) may want to advance, the business need for the advancement doesn't really exist anymore.  It may not be like that forever, but it feels like that will be the case for 2018 and 2019 as we rebuild and refocus.",G_L_D,G_L_D_H,CA_PO_L,CA_L
3,"This comment applies to all of the questions in this section.  I have noticed a dramatic shift in the messaging frequency and content re: gender diversity and career development opportunities at XXX in the past few months.  There has been a much greater emphasis placed on consistently reaching out, to creating new channels for communication, and of course, for the impactful promotions of women to our ELT.  I am hopeful that this cultural change will continue and will result in real change for women's career satisfaction, for improving diversity throughout our ranks, and truly embracing an inclusive culture.  Very encouraging and important work being done by the company.  Kudos!",CA_PO_L,Culture Change in positive ,G_L_D_H,
4,"There is a general notion that at XXX, women are tested and men are promoted",G_L_D,CA_PO_U,,
5,I have been continually disappointed by the lack of gender diversity in the C-suite.   I am encouraged by recent changes to correct this inequity.,G_L_D,,,
6,"There has been a negative perception in the past about XXX not having women in executive leadership positions and the attitude / lack of respect for women at the executive level. However, I feel positive about some of the recent promotions of women into ELT positions and our new leadership's position on diversity and gender equality. My own experience at XXX has been positive; I feel like I have had equal opportunity and was recently promoted into a leadership position. I am positive about my own division's VP and the CPO, and believe they are committed to diversity and treat everyone equally. ",G_L_D_H,CA_PO_P,CA_PO_E,
7,"I personally haven't felt discriminated against, or held back because of my gender, but the optics around this issue make it hard to deny that it exists.  An ELT with 0 women, role openings and promotions seemingly going to men far more often than women - when both are qualified, etc.",G_D_P,G_L_D_H,CA_PO_U,
8,"My perception is that there is gender diversity (or equal placement of women and men) in associate, manager, senior manager and director roles.  The imbalance seems to occur or at least start to occur as you go up the hierarchy ladder.  ",G_D_P,G_L_D_H,,
9,"The company has denied that there are any issues with gender at the company for as long as I've been with XXX. I'm glad to hear that there is an awareness and openness to improve, however I hope that we can set our aspirations high and do what is needed to be the BEST company for women and other diverse employees. ",NEP_GD,WE_imp_?,,
10,I'd love to see more diversity in XXX's leadership but I do not want XXX to over rotate in this area. I'd much rather have a leader who do so effectively regardless of gender. ,others,,,
11,Women are valued in roles through mid management to get things done but are not rewarded with promotions in the same way men are.,CA_PO_U,G_UE_V,,
12,"As a female with XXX for over 10 years, I have never felt as if my gender was getting in the way of me progressing in my career.  I was given a director position over a male and I've continued to be assigned highly visible projects.  I care more about diversity in general at XXX than I do gender diversity.  It's almost all white men in leadership, and where there are women in leadership, it's usually a white woman.  Forget about gender, let's focus on diversity period.",G_P_D_H,LTE,Diversity period,
13,"I'm reasonably confident that a plurality of senior leaders recognize that the status quo is unsustainable from a gender diversity perspective, but I worry that there may still be pockets where the perspective is that it's either not a problem, or it's someone else's problem.  Particularly in Sales, Product and CTO orgs, the lack of women in leadership positions (and in soon-to-be-leader positions) is striking.  Not only do we not have representation, but the internal pipeline is a lot weaker than in Marketing, Finance, XXXCentral, etc.  It seems like some parts of the company have an abundance of women and a strong pipeline, and other areas...just don't",G_L_D_H,pass the buck,WE_L_E,
